match_id,TEAM,MAP_PICK,WIN
2303991,Preparation,Dust2,N
2303991,Preparation,Dust2,Y
2303991,Gambit,Mirage,N
2303991,Gambit,Mirage,Y
2303992,"Binary Dragons",Cobblestone,Y
2303992,"Space Jam",Dust2,Y
2303994,NokSuKao,Mirage,Y
2303994,Vesuvius,Cobblestone,Y
2303995,Gambit,Cache,Y
2303995,"Binary Dragons",Dust2,Y
2303996,Spirit,Mirage,Y
2303996,Spirit,Mirage,N
2303996,Envy,Cobblestone,Y
2303996,Envy,Cobblestone,N
2304006,OpTic,Cobblestone,N
2304006,CLG,Mirage,N
2304029,Dignitas,Nuke,Y
2304029,Envy,Dust2,Y
2304030,Prospects,Cache,N
2304030,Renegades,Cobblestone,N
2304048,HellRaisers,Dust2,N
2304048,X,Cobblestone,N
2304049,Kinguin,Mirage,Y
2304049,Kinguin,Mirage,N
2304049,MK,Cache,Y
2304049,MK,Cache,N
2304050,fruits,Train,Y
2304050,X,Cobblestone,Y
2304057,Envy,Dust2,Y
2304057,HellRaisers,Nuke,Y
2304062,Immortals,Mirage,N
2304062,Luminosity,Train,N
2304063,TSM,Mirage,N
2304063,TSM,Mirage,Y
2304063,Renegades,Cache,N
2304063,Renegades,Cache,Y
2304068,X,Dust2,Y
2304068,X,Dust2,N
2304068,MK,Train,Y
2304068,MK,Train,N
2304069,fruits,0.0,N
2304069,Kinguin,0.0,N
2304075,Parallax,Dust2,Y
2304075,Parallax,Dust2,N
2304075,Athletico,Cache,Y
2304075,Athletico,Cache,N
2304080,ENCE,Cobblestone,Y
2304080,ENCE,Cobblestone,N
2304080,Spirit,Dust2,Y
2304080,Spirit,Dust2,N
2304081,NokSuKao,Cobblestone,N
2304081,HellRaisers,Dust2,N
2304082,Epsilon,Cobblestone,N
2304082,fruits,Mirage,N
2304083,X,Cobblestone,Y
2304083,ANOX,Train,Y
2304084,DenDD,Overpass,N
2304084,Kinguin,Mirage,N
2304085,Escape,Train,Y
2304085,Escape,Train,N
2304085,"Space Soldiers",Mirage,Y
2304085,"Space Soldiers",Mirage,N
2304086,Comanche,Mirage,N
2304086,Dignitas,Overpass,N
2304087,X,Train,N
2304087,Kinguin,Mirage,N
2304091,HellRaisers,Mirage,N
2304091,HellRaisers,Mirage,Y
2304091,Epsilon,Dust2,N
2304091,Epsilon,Dust2,Y
2304107,"Space Soldiers",Cobblestone,Y
2304107,Dignitas,Mirage,Y
2304108,ENCE,Cobblestone,N
2304108,ENCE,Cobblestone,Y
2304108,Gambit,Mirage,N
2304108,Gambit,Mirage,Y
2304113,"Space Soldiers",Cobblestone,N
2304113,X,Train,N
2304116,HellRaisers,Cobblestone,N
2304116,HellRaisers,Cobblestone,Y
2304116,Gambit,Mirage,N
2304116,Gambit,Mirage,Y
2304117,Slovakia,Cache,N
2304117,Turkey,Mirage,N
2304124,"Czech Republic",Dust2,Y
2304124,"Czech Republic",Dust2,N
2304124,Portugal,Cache,Y
2304124,Portugal,Cache,N
2304168,AGG,0.0,Y
2304168,DarkPassage,0.0,Y
2304169,fruits,0.0,Y
2304169,ANOX,0.0,Y
2304170,"Epiphany Bolt",0.0,Y
2304170,Tengri,0.0,Y
2304171,OpTic,Mirage,N
2304171,OpTic,Mirage,Y
2304171,Cloud9,Cache,N
2304171,Cloud9,Cache,Y
2304172,Immortals,Overpass,Y
2304172,Renegades,Cobblestone,Y
2304177,"Epiphany Bolt",Dust2,N
2304177,"Epiphany Bolt",Dust2,Y
2304177,ANOX,Overpass,N
2304177,ANOX,Overpass,Y
2304178,X,0.0,Y
2304178,Kinguin,0.0,Y
2304179,Preparation,Mirage,Y
2304179,Preparation,Mirage,N
2304179,"Space Jam",Cache,Y
2304179,"Space Jam",Cache,N
2304180,Spirit,Mirage,N
2304180,Comanche,Cobblestone,N
2304182,HellRaisers,Dust2,Y
2304182,"ALTERNATE aTTaX",Train,Y
2304184,PRIDE,Cache,Y
2304184,PRIDE,Cache,N
2304184,EURONICS,Nuke,Y
2304184,EURONICS,Nuke,N
2304186,AGG,Cobblestone,N
2304186,AGG,Cobblestone,Y
2304186,Spirit,Mirage,N
2304186,Spirit,Mirage,Y
2304191,OpTic,Cache,N
2304191,"Echo Fox",Dust2,N
2304192,NRG,0.0,N
2304192,CLG,0.0,N
2304196,Rogue,0.0,Y
2304196,Complexity,0.0,Y
2304197,Winterfox,0.0,Y
2304197,Heroic,0.0,Y
2304225,"Space Soldiers",0.0,Y
2304225,"Damage Control",0.0,Y
2304235,Swift,0.0,N
2304235,Bravado,0.0,N
2304236,DarkPassage,0.0,Y
2304236,"FENNEC ",0.0,Y
2304238,Chosen5,0.0,Y
2304238,"Space Soldiers",0.0,Y
2304239,Swift,0.0,Y
2304239,"FENNEC ",0.0,Y
2304240,Bravado,0.0,N
2304240,DarkPassage,0.0,N
2304241,Swift,0.0,N
2304241,DarkPassage,0.0,N
2304242,"FENNEC ",0.0,Y
2304242,Bravado,0.0,Y
2304244,Chosen5,0.0,Y
2304244,"Damage Control",0.0,Y
2304249,ProGaming,Train,N
2304249,Furious,Cache,N
2304250,"Black Dragons",Mirage,Y
2304250,"Black Dragons",Mirage,N
2304250,TRS,Dust2,Y
2304250,TRS,Dust2,N
2304251,TeamOne,Cache,Y
2304251,TeamOne,Cache,N
2304251,IDM,Dust2,Y
2304251,IDM,Dust2,N
2304256,DarkPassage,Dust2,N
2304256,DarkPassage,Dust2,Y
2304256,"Space Soldiers",Cache,N
2304256,"Space Soldiers",Cache,Y
2304257,Chosen5,Cache,Y
2304257,Bravado,Train,Y
2304258,Astralis,Cobblestone,N
2304258,Astralis,Cobblestone,Y
2304258,Heroic,Dust2,N
2304258,Heroic,Dust2,Y
2304259,Rogue,Mirage,Y
2304259,Rogue,Mirage,N
2304259,Dignitas,Cache,Y
2304259,Dignitas,Cache,N
2304260,Dignitas,Cobblestone,N
2304260,Dignitas,Cobblestone,Y
2304260,Heroic,Dust2,N
2304260,Heroic,Dust2,Y
2304265,DarkPassage,Cobblestone,Y
2304265,Chosen5,Dust2,Y
2304266,Bravado,Dust2,Y
2304266,"Space Soldiers",Mirage,Y
2304287,CNB,Dust2,N
2304287,"Black Dragons",Cobblestone,N
2304323,ProGaming,Mirage,Y
2304323,"Remo Brave",Dust2,Y
2304325,"Remo Brave",Cache,Y
2304325,"Remo Brave",Cache,N
2304325,TeamOne,Train,Y
2304325,TeamOne,Train,N
2304329,Epsilon,Mirage,Y
2304329,PRIDE,Cache,Y
2304332,Spirit,Cache,Y
2304332,Millenium,Mirage,Y
2304336,GODSENT,Dust2,Y
2304336,Heroic,Train,Y
2304337,TeamOne,Train,N
2304337,TRS,Mirage,N
2304338,"Epiphany Bolt",Mirage,N
2304338,Spirit,Cache,N
2304339,Preparation,Mirage,Y
2304339,Preparation,Mirage,N
2304339,PRIDE,Train,Y
2304339,PRIDE,Train,N
2304340,FaZe,Dust2,Y
2304340,"Space Soldiers",Train,Y
2304360,FaZe,Mirage,Y
2304360,Astralis,Train,Y
2304361,Wizards,Nuke,Y
2304361,Wizards,Nuke,N
2304361,"Space Soldiers",Cobblestone,Y
2304361,"Space Soldiers",Cobblestone,N
2304362,Epsilon,Cobblestone,N
2304362,Gambit,Mirage,N
2304364,Spirit,Cache,Y
2304364,"Space Soldiers",Cobblestone,Y
2304367,"Remo Brave",Dust2,Y
